ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,d
4083,4105,4106,4092,4096,4098,4097,4093,0000000000111111
4074,4094,4100,4094,4097,4100,4097,4093,0000000000111111
4082,4087,4099,4094,4096,4095,4097,4093,0000000000111111
4086,4086,4096,4092,4097,4088,4096,4093,0000000000111111
4090,4089,4099,4093,4096,4095,4096,4093,0000000000111111
4094,4097,4101,4090,4096,4093,4095,4093,0000000000111111
4087,4087,4104,4088,4096,4093,4095,4093,0000000000111111
4084,4084,4103,4093,4096,4088,4095,4093,0000000000111111
4079,4087,4101,4086,4096,4087,4096,4093,0000000000111111
4097,4085,4109,4096,4096,4093,4096,4093,0000000000111111
4088,4087,4106,4099,4097,4098,4096,4093,0000000000111111
4092,4084,4105,4089,4096,4093,4095,4093,0000000000111111
4085,4087,4106,4084,4096,4097,4096,4094,0000000000111111
4090,4093,4099,4082,4097,4099,4096,4095,0000000000111111
4091,4082,4104,4086,4096,4092,4095,4094,0000000000111111
4085,4088,4109,4082,4096,4093,4094,4093,0000000000111111
4086,4093,4106,4091,4096,4102,4094,4093,0000000000111111
4093,4084,4103,4084,4096,4100,4094,4093,0000000000111111
4087,4086,4108,4085,4096,4093,4095,4092,0000000000111111
4086,4089,4102,4082,4096,4089,4095,4093,0000000000111111
4096,4098,4101,4076,4096,4096,4094,4094,0000000000111111
4086,4090,4105,4077,4096,4098,4094,4094,0000000000111111
4088,4092,4109,4081,4096,4096,4094,4094,0000000000111111
4076,4088,4105,4075,4097,4101,4093,4095,0000000000111111
4076,4089,4100,4072,4097,4094,4093,4093,0000000000111111
4080,4096,4100,4078,4096,4092,4094,4094,0000000000111111
4078,4085,4099,4074,4096,4090,4093,4093,0000000000111111
4081,4085,4102,4091,4096,4089,4092,4093,0000000000111111
4078,4088,4107,4091,4096,4091,4091,4093,0000000000111111
4087,4085,4105,4086,4097,4090,4092,4094,0000000000111111
4099,4086,4102,4102,4096,4096,4093,4093,0000000000111111
4087,4087,4103,4099,4096,4097,4090,4094,0000000000111111
4083,4083,4100,4096,4096,4091,4089,4096,0000000000111111
4078,4087,4105,4093,4096,4093,4089,4097,0000000000111111
4088,4089,4099,4096,4096,4093,4087,4097,0000000000111111
4099,4086,4101,4094,4096,4094,4085,4098,0000000000111111
4067,4086,4099,4099,4097,4097,4085,4098,0000000000111111
4059,4087,4105,4091,4097,4102,4086,4097,0000000000111111
4076,4089,4096,4095,4096,4097,4086,4098,0000000000111111
4090,4089,4105,4089,4096,4096,4086,4097,0000000000111111
4078,4085,4099,4106,4096,4101,4085,4095,0000000000111111
4083,4086,4104,4095,4096,4098,4082,4093,0000000000111111
4082,4088,4105,4091,4096,4097,4081,4093,0000000000111111
4087,4081,4099,4087,4096,4097,4081,4093,0000000000111111
4088,4087,4106,4096,4096,4101,4080,4094,0000000000111111
4077,4093,4100,4100,4096,4094,4081,4095,0000000000111111
4087,4097,4101,4099,4097,4098,4082,4094,0000000000111111
4090,4093,4107,4095,4096,4098,4086,4094,0000000000111111
4081,4086,4104,4090,4096,4095,4091,4096,0000000000111111
4087,4084,4098,4099,4096,4099,4092,4098,0000000000111111
4084,4088,4103,4093,4096,4095,4098,4098,0000000000111111
4081,4096,4099,4093,4096,4092,4106,4093,0000000000111111
4053,4085,4095,4092,4096,4093,4113,4088,0000000000111111
4086,4089,4097,4096,4096,4093,4119,4084,0000000000111111
4089,4090,4094,4092,4096,4098,4122,4083,0000000000111111
4095,4086,4094,4099,4096,4088,4121,4083,0000000000111111
4096,4093,4103,4107,4096,4094,4121,4082,0000000000111111
4105,4093,4100,4099,4096,4095,4121,4080,0000000000111111
4115,4086,4105,4107,4096,4088,4121,4080,0000000000111111
4071,4093,4097,4103,4097,4087,4121,4080,0000000000111111
4090,4086,4099,4093,4096,4088,4124,4081,0000000000111111
4091,4084,4101,4105,4096,4099,4128,4084,0000000000111111
4099,4093,4100,4104,4096,4096,4131,4085,0000000000111111
4076,4089,4088,4102,4096,4097,4133,4086,0000000000111111
4105,4084,4100,4095,4096,4093,4136,4087,0000000000111111
4091,4089,4099,4099,4096,4087,4139,4087,0000000000111111
4095,4091,4104,4107,4096,4090,4140,4087,0000000000111111
4095,4091,4108,4103,4096,4097,4143,4086,0000000000111111
4080,4097,4100,4112,4096,4090,4148,4083,0000000000111111
4093,4093,4098,4096,4096,4098,4152,4080,0000000000111111
4086,4086,4102,4106,4096,4097,4158,4076,0000000000111111
4074,4092,4099,4101,4096,4101,4160,4073,0000000000111111
4073,4096,4106,4099,4096,4099,4163,4070,0000000000111111
4070,4090,4105,4093,4096,4099,4165,4068,0000000000111111
4064,4093,4107,4096,4096,4086,4167,4067,0000000000111111
4081,4092,4105,4100,4096,4099,4168,4066,0000000000111111
4080,4085,4101,4097,4096,4095,4167,4066,0000000000111111
4074,4083,4099,4098,4096,4100,4165,4064,0000000000111111
4086,4085,4107,4090,4096,4095,4165,4062,0000000000111111
4086,4091,4098,4086,4096,4091,4166,4061,0000000000111111
4089,4089,4100,4081,4096,4093,4168,4061,0000000000111111
4080,4093,4094,4087,4096,4091,4170,4063,0000000000111111
4094,4090,4103,4089,4096,4096,4167,4066,0000000000111111
4090,4093,4101,4088,4096,4091,4160,4069,0000000000111111
4089,4087,4098,4088,4096,4096,4152,4070,0000000000111111
4091,4086,4099,4094,4096,4101,4148,4067,0000000000111111
4086,4089,4095,4084,4096,4097,4150,4064,0000000000111111
4085,4087,4099,4092,4096,4094,4153,4060,0000000000111111
4081,4093,4103,4087,4096,4086,4154,4057,0000000000111111
4052,4093,4102,4091,4096,4099,4151,4053,0000000000111111
3411,4091,4105,4105,4096,4094,4148,4051,0000000000111111
