ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,d,time(ms)
-0.5712890625,0.3955078125,0.439453125,-0.17578125,0.0,0.087890625,0.0439453125,-0.1318359375,0000000000111111,0
-0.966796875,-0.087890625,0.17578125,-0.087890625,0.0439453125,0.17578125,0.0439453125,-0.1318359375,0000000000111111,20
-0.615234375,-0.3955078125,0.1318359375,-0.087890625,0.0,-0.0439453125,0.0439453125,-0.1318359375,0000000000111111,40
-0.439453125,-0.439453125,0.0,-0.17578125,0.0439453125,-0.3515625,0.0,-0.1318359375,0000000000111111,60
-0.263671875,-0.3076171875,0.1318359375,-0.1318359375,0.0,-0.0439453125,0.0,-0.1318359375,0000000000111111,80
-0.087890625,0.0439453125,0.2197265625,-0.263671875,0.0,-0.1318359375,-0.0439453125,-0.1318359375,0000000000111111,100
-0.3955078125,-0.3955078125,0.3515625,-0.3515625,0.0,-0.1318359375,-0.0439453125,-0.1318359375,0000000000111111,120
-0.52734375,-0.52734375,0.3076171875,-0.1318359375,0.0,-0.3515625,-0.0439453125,-0.1318359375,0000000000111111,140
-0.7470703125,-0.3955078125,0.2197265625,-0.439453125,0.0,-0.3955078125,0.0,-0.1318359375,0000000000111111,160
0.0439453125,-0.4833984375,0.5712890625,0.0,0.0,-0.1318359375,0.0,-0.1318359375,0000000000111111,180
-0.3515625,-0.3955078125,0.439453125,0.1318359375,0.0439453125,0.087890625,0.0,-0.1318359375,0000000000111111,200
-0.17578125,-0.52734375,0.3955078125,-0.3076171875,0.0,-0.1318359375,-0.0439453125,-0.1318359375,0000000000111111,220
-0.4833984375,-0.3955078125,0.439453125,-0.52734375,0.0,0.0439453125,0.0,-0.087890625,0000000000111111,240
-0.263671875,-0.1318359375,0.1318359375,-0.615234375,0.0439453125,0.1318359375,0.0,-0.0439453125,0000000000111111,260
-0.2197265625,-0.615234375,0.3515625,-0.439453125,0.0,-0.17578125,-0.0439453125,-0.087890625,0000000000111111,280
-0.4833984375,-0.3515625,0.5712890625,-0.615234375,0.0,-0.1318359375,-0.087890625,-0.1318359375,0000000000111111,300
-0.439453125,-0.1318359375,0.439453125,-0.2197265625,0.0,0.263671875,-0.087890625,-0.1318359375,0000000000111111,320
-0.1318359375,-0.52734375,0.3076171875,-0.52734375,0.0,0.17578125,-0.087890625,-0.1318359375,0000000000111111,340
-0.3955078125,-0.439453125,0.52734375,-0.4833984375,0.0,-0.1318359375,-0.0439453125,-0.17578125,0000000000111111,360
-0.439453125,-0.3076171875,0.263671875,-0.615234375,0.0,-0.3076171875,-0.0439453125,-0.1318359375,0000000000111111,380
0.0,0.087890625,0.2197265625,-0.87890625,0.0,0.0,-0.087890625,-0.087890625,0000000000111111,400
-0.439453125,-0.263671875,0.3955078125,-0.8349609375,0.0,0.087890625,-0.087890625,-0.087890625,0000000000111111,420
-0.3515625,-0.17578125,0.5712890625,-0.6591796875,0.0,0.0,-0.087890625,-0.087890625,0000000000111111,440
-0.87890625,-0.3515625,0.3955078125,-0.9228515625,0.0439453125,0.2197265625,-0.1318359375,-0.0439453125,0000000000111111,460
-0.87890625,-0.3076171875,0.17578125,-1.0546875,0.0439453125,-0.087890625,-0.1318359375,-0.1318359375,0000000000111111,480
-0.703125,0.0,0.17578125,-0.791015625,0.0,-0.17578125,-0.087890625,-0.087890625,0000000000111111,500
-0.791015625,-0.4833984375,0.1318359375,-0.966796875,0.0,-0.263671875,-0.1318359375,-0.1318359375,0000000000111111,520
-0.6591796875,-0.4833984375,0.263671875,-0.2197265625,0.0,-0.3076171875,-0.17578125,-0.1318359375,0000000000111111,540
-0.791015625,-0.3515625,0.4833984375,-0.2197265625,0.0,-0.2197265625,-0.2197265625,-0.1318359375,0000000000111111,560
-0.3955078125,-0.4833984375,0.3955078125,-0.439453125,0.0439453125,-0.263671875,-0.17578125,-0.087890625,0000000000111111,580
0.1318359375,-0.439453125,0.263671875,0.263671875,0.0,0.0,-0.1318359375,-0.1318359375,0000000000111111,600
-0.3955078125,-0.3955078125,0.3076171875,0.1318359375,0.0,0.0439453125,-0.263671875,-0.087890625,0000000000111111,620
-0.5712890625,-0.5712890625,0.17578125,0.0,0.0,-0.2197265625,-0.3076171875,0.0,0000000000111111,640
-0.791015625,-0.3955078125,0.3955078125,-0.1318359375,0.0,-0.1318359375,-0.3076171875,0.0439453125,0000000000111111,660
-0.3515625,-0.3076171875,0.1318359375,0.0,0.0,-0.1318359375,-0.3955078125,0.0439453125,0000000000111111,680
0.1318359375,-0.439453125,0.2197265625,-0.087890625,0.0,-0.087890625,-0.4833984375,0.087890625,0000000000111111,700
-1.2744140625,-0.439453125,0.1318359375,0.1318359375,0.0439453125,0.0439453125,-0.4833984375,0.087890625,0000000000111111,720
-1.6259765625,-0.3955078125,0.3955078125,-0.2197265625,0.0439453125,0.263671875,-0.439453125,0.0439453125,0000000000111111,740
-0.87890625,-0.3076171875,0.0,-0.0439453125,0.0,0.0439453125,-0.439453125,0.087890625,0000000000111111,760
-0.263671875,-0.3076171875,0.3955078125,-0.3076171875,0.0,0.0,-0.439453125,0.0439453125,0000000000111111,780
-0.791015625,-0.4833984375,0.1318359375,0.439453125,0.0,0.2197265625,-0.4833984375,-0.0439453125,0000000000111111,800
-0.5712890625,-0.439453125,0.3515625,-0.0439453125,0.0,0.087890625,-0.615234375,-0.1318359375,0000000000111111,820
-0.615234375,-0.3515625,0.3955078125,-0.2197265625,0.0,0.0439453125,-0.6591796875,-0.1318359375,0000000000111111,840
